S.L No,CustomerID,Gender,Location,Transaction_ID,Transaction_Date,Product_SKU,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,GST,Offline_Spend,Online_Spend,Month,Discount_pct
1016,15525,M,New York,17455,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1017,15525,M,New York,17457,9-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,3287.83,1,10
1018,15525,M,New York,17459,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,5,153.71,6.5,0.1,5000,3287.83,1,10
1019,15525,M,New York,17462,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1020,15525,M,New York,17463,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,3287.83,1,10
1021,15525,M,New York,17463,9-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,3287.83,1,10
1022,15525,M,New York,17464,9-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1023,15525,M,New York,17465,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1024,15525,M,New York,17466,9-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,5,122.77,6.5,0.1,5000,3287.83,1,10
1025,15525,M,New York,17467,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1026,15525,M,New York,17469,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,3287.83,1,10
1027,15525,M,New York,17470,9-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1028,15525,M,New York,17472,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1029,15525,M,New York,17473,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1030,15525,M,New York,17474,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1031,14237,F,Chicago,17475,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1032,14237,F,Chicago,17477,9-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1033,14237,F,Chicago,17481,9-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1034,17905,M,New York,17484,9-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1035,17905,M,New York,17485,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1036,17905,M,New York,17488,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1037,17905,M,New York,17490,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1038,17905,M,New York,17495,9-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,4,81.5,6.5,0.1,5000,3287.83,1,10
1039,15485,M,New York,17496,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1040,15485,M,New York,17498,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1041,15485,M,New York,17502,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,3287.83,1,10
1042,15485,M,New York,17503,9-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1043,15485,M,New York,17504,9-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,3287.83,1,10
1044,12433,M,California,17511,9-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,3287.83,1,10
1045,12433,M,California,17518,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1046,12433,M,California,17518,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1047,12433,M,California,17525,10-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,5,81.5,6.5,0.1,5000,515.44,1,10
1048,12433,M,California,17526,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1049,12433,M,California,17528,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1050,12433,M,California,17529,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1051,12433,M,California,17529,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,515.44,1,10
1052,12433,M,California,17532,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,515.44,1,10
1053,12433,M,California,17537,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1054,12433,M,California,17537,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1055,12433,M,California,17542,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1056,12433,M,California,17542,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1057,12433,M,California,17545,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1058,12433,M,California,17547,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1059,12433,M,California,17552,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1060,12433,M,California,17554,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1061,16955,F,New York,17555,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,122.77,6.5,0.1,5000,515.44,1,10
1062,16955,F,New York,17556,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1063,15350,M,California,17562,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1064,15350,M,California,17562,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1065,15350,M,California,17562,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1066,15350,M,California,17563,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1067,15605,F,California,17563,10-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,81.5,6.5,0.1,5000,515.44,1,10
1068,15605,F,California,17564,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1069,15605,F,California,17564,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,515.44,1,10
1070,15605,F,California,17564,10-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,81.5,6.5,0.1,5000,515.44,1,10
1071,15605,F,California,17565,10-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,5000,515.44,1,10
1072,15605,F,California,17566,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1073,15605,F,California,17570,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,515.44,1,10
1074,15605,F,California,17572,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1075,15605,F,California,17576,10-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,81.5,6.5,0.1,5000,515.44,1,10
1076,15605,F,California,17577,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1077,15605,F,California,17577,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1078,15605,F,California,17578,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1079,18144,F,California,17579,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1080,18144,F,California,17580,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1081,18144,F,California,17581,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,515.44,1,10
1082,15922,M,Chicago,17582,10-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,515.44,1,10
1083,15922,M,Chicago,17582,10-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,515.44,1,10
1084,15922,M,Chicago,17585,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1085,14594,M,California,17592,10-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,515.44,1,10
1086,14594,M,California,17593,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1087,14594,M,California,17595,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,6.5,0.1,5000,515.44,1,10
1088,14594,M,California,17596,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1089,14594,M,California,17599,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1090,14594,M,California,17600,10-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,515.44,1,10
1091,14594,M,California,17601,10-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,5000,515.44,1,10
1092,14594,M,California,17605,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1093,14594,M,California,17606,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,1757.58,1,10
1094,14594,M,California,17606,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1095,14594,M,California,17606,11-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,1757.58,1,10
1096,14594,M,California,17607,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,3,153.71,6.5,0.1,5000,1757.58,1,10
1097,14594,M,California,17610,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1098,14594,M,California,17613,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1099,14594,M,California,17614,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,122.77,6.5,0.1,5000,1757.58,1,10
1100,14594,M,California,17615,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1101,14594,M,California,17616,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1102,14594,M,California,17617,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1103,14594,M,California,17620,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1104,14594,M,California,17621,11-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,1757.58,1,10
1105,14594,M,California,17622,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,3,153.71,6.5,0.1,5000,1757.58,1,10
1106,15165,F,New Jersey,17622,11-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,1757.58,1,10
1107,15165,F,New Jersey,17624,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,1757.58,1,10
1108,15165,F,New Jersey,17625,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1109,15165,F,New Jersey,17627,11-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,81.5,6.5,0.1,5000,1757.58,1,10
1110,15165,F,New Jersey,17632,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1111,15165,F,New Jersey,17634,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1112,15165,F,New Jersey,17634,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,5,122.77,6.5,0.1,5000,1757.58,1,10
1113,14911,F,California,17637,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1114,14911,F,California,17638,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,1757.58,1,10
1115,14911,F,California,17640,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,5,153.71,6.5,0.1,5000,1757.58,1,10
1116,14911,F,California,17641,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,1757.58,1,10
1117,14911,F,California,17642,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1118,14911,F,California,17642,11-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,1757.58,1,10
1119,14911,F,California,17645,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1120,14911,F,California,17646,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,1757.58,1,10
1121,14911,F,California,17647,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1122,14911,F,California,17649,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1123,16456,M,California,17653,11-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,81.5,6.5,0.1,5000,1757.58,1,10
1124,16456,M,California,17654,11-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1125,16456,M,California,17654,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,5000,1757.58,1,10
1126,16456,M,California,17657,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1127,16456,M,California,17662,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1128,12472,F,New Jersey,17665,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1129,12472,F,New Jersey,17669,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,3,122.77,6.5,0.1,5000,1757.58,1,10
1130,17346,F,New Jersey,17673,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1131,17346,F,New Jersey,17673,11-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,1757.58,1,10
1132,17346,F,New Jersey,17675,11-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,1757.58,1,10
1133,17346,F,New Jersey,17676,11-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,102.13,6.5,0.1,5000,1757.58,1,10
1134,17346,F,New Jersey,17681,11-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3,81.5,6.5,0.1,5000,1757.58,1,10
1135,14911,F,California,19070,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1136,17228,M,Chicago,19035,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,1000,993.69,1,10
1137,17228,M,Chicago,19036,28-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,1000,993.69,1,10
1138,17228,M,Chicago,19036,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1139,17228,M,Chicago,19037,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,1000,993.69,1,10
1140,17228,M,Chicago,19037,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1141,17228,M,Chicago,19037,28-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,1000,993.69,1,10
1142,17228,M,Chicago,19038,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,1000,993.69,1,10
1143,17228,M,Chicago,19039,28-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1144,17228,M,Chicago,19040,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1145,14829,M,California,19042,28-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,102.13,6.5,0.1,1000,993.69,1,10
1146,14829,M,California,19044,28-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1147,14829,M,California,19044,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1148,14829,M,California,19045,28-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,1000,993.69,1,10
1149,14829,M,California,19047,28-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1150,14829,M,California,19050,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,4,153.71,6.5,0.1,1000,993.69,1,10
1151,14829,M,California,19051,28-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1152,14829,M,California,19052,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,1000,993.69,1,10
1153,14829,M,California,19053,28-Jan-19,GGOENEBB079399,Nest Protect Smoke + CO Black Wired Alarm-USA,Nest-USA,1,102.13,6.5,0.1,1000,993.69,1,10
1154,14829,M,California,19053,28-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,2,102.13,6.5,0.1,1000,993.69,1,10
1155,14829,M,California,19057,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,1000,993.69,1,10
1156,14829,M,California,19058,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,1000,993.69,1,10
1157,14829,M,California,19058,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1158,14829,M,California,19059,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2,153.71,6.5,0.1,1000,993.69,1,10
1159,14829,M,California,19059,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,1000,993.69,1,10
1160,17412,F,California,19064,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,1000,993.69,1,10
1161,17412,F,California,19066,28-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,1000,993.69,1,10
1162,17412,F,California,19067,28-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,2,81.5,6.5,0.1,1000,993.69,1,10
1163,17412,F,California,19069,28-Jan-19,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,1000,993.69,1,10
1164,17841,M,California,17693,12-Jan-19,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,1,102.13,6.5,0.1,5000,2435.97,1,10
1165,17841,M,California,17697,12-Jan-19,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,153.71,6.5,0.1,5000,2435.97,1,10
1166,17841,M,California,17702,12-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,2435.97,1,10
1167,17841,M,California,17704,12-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,2,122.77,6.5,0.1,5000,2435.97,1,10
1168,17841,M,California,17704,12-Jan-19,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,1,81.5,6.5,0.1,5000,2435.97,1,10
1169,17841,M,California,17708,12-Jan-19,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,1,122.77,6.5,0.1,5000,2435.97,1,10
